Rxn	MCF102A_LB	MCF102A_UB	MDAMB361_LB	MDAMB361_UB	MCF7_LB	MCF7_UB	SKBR3_LB	SKBR3_UB	MDAMB231_LB	MDAMB231_UB
EX_gln__L_e	-2.500000000	0.00	-4.000000000	0.00	-4	0	-2	0	-4	0
EX_gly_e	-0.250000000	0.00	-0.250000000	0.00	-0.4	0	-0.4	0	-0.4	0
ALAPAT4te	0	0.049999997	0	0.049999997	0	0	0	0	0	0
EX_arg__L_e	-0.699052160	0.00	-0.699052160	0.00	-0.39810428	0	-0.39810428	0	-0.39810428	0
EX_asn__L_e	0	0.05	0	0.05	0	0	0	0	0	0
EX_asp__L_e	0	0.05	0	0.05	0	0	0	0	0	0
EX_cys__L_e	0	0.099772720	0	0.099772720	0	0	0	0	0	0
EX_cystinex	-0.099968050	0.00	-0.099968050	0.00	-0.20127796	0	-0.20127796	0	-0.20127796	0
EX_gluIN__L_e	0	0.05	0	0.05	0	0	0	0	0	0
EX_his__L_e	-0.149904760	0.00	-0.149904760	0.00	-0.2	0	-0.2	0	-0.2	0
EX_ile__L_e	-0.415801530	0.00	-0.415801530	0.00	-0.8015267	0	-0.8015267	0	-0.8015267	0
EX_leu__L_e	-0.450763340	0.00	-0.450763340	0.00	-0.8015267	0	-0.8015267	0	-0.8015267	0
EX_lys__L_e	-0.498633900	0.00	-0.498633900	0.00	-0.7978142	0	-0.7978142	0	-0.7978142	0
EX_met__L_e	-0.115704690	0.00	-0.115704690	0.00	-0.20134228	0	-0.20134228	0	-0.20134228	0
EX_phe__L_e	-0.215030300	0.00	-0.215030300	0.00	-0.4	0	-0.4	0	-0.4	0
EX_pro__L_e	0	0.15	0	0.15	0	0	0	0	0	0
EX_ser__L_e	-0.250000000	0.00	-0.250000000	0.00	-0.4	0	-0.4	0	-0.4	0
EX_thr__L_e	-0.449159680	0.00	-0.449159680	0.00	-0.79831934	0	-0.79831934	0	-0.79831934	0
EX_trp__L_e	-0.044215690	0.00	-0.044215690	0.00	-0.078431375	0	-0.078431375	0	-0.078431375	0
EX_tyr__L_e	-0.213754790	0.00	-0.213754790	0.00	-0.39846742	0	-0.39846742	0	-0.39846742	0
EX_val__L_e	-0.220940170	0.00	-0.220940170	0.00	-0.8034188	0	-0.8034188	0	-0.8034188	0
EX_fol_e	-0.006009071	0.00	-0.006009071	0.00	-0.009070295	0	-0.009070295	0	-0.009070295	0
EX_ribflv_e	-5.82e-04	0.00e+00	-5.82e-04	0.00E+00	-1.06e-03	0.00E+00	-1.06e-03	0.00E+00	-1.06e-03	0.00E+00
EX_glc__D_e	-17.505556000	0.00	-17.505556000	0.00	-25	0	-25	0	-25	0
HDCAt	0	1.50e-04	0	1.50e-04	0	0	0	0	0	0
EX_octanoyl_ACP	0	5.10e-04	0	5.10e-04	0	0	0	0	0	0
EX_ptrcIN_e	0	5.03e-04	0	5.03e-04	0	0	0	0	0	0
EX_pyr_e	0	0.5	0	0.5	0	0	0	0	0	0
EX_thymd	0	0.001508265	0	0.001508265	0	0	0	0	0	0
EX_pi_e	-0.953039410	0.00	-0.953039410	0.00	-0.9057971	0	-0.9057971	0	-0.9057971	0